Date,P(t),Q(t-1),Q(t)
1990-01-01,2.97,1.186,1.186
1990-01-02,1.835714286,1.186,1.186
1990-01-03,2.494285714,1.186,1.186
1990-01-04,2.475714286,1.186,1.186
1990-01-05,1.158571429,1.186,1.186
1990-01-06,0.894285714,1.186,1.186
1990-01-07,3.508571429,1.186,1.186
1990-01-08,0.17,1.186,1.186
1990-01-09,0.621428571,1.186,1.186
1990-01-10,0.14,1.186,1.186
1990-01-11,0.027142857,1.074,1.186
1990-01-12,0.052857143,0.961,1.074
1990-01-13,0,0.961,0.961
1990-01-14,0.044285714,0.961,0.961
1990-01-15,0.017142857,0.961,0.961
1990-01-16,0,0.961,0.961
1990-01-17,0.148571429,0.961,0.961
1990-01-18,0.157142857,0.961,0.961
1990-01-19,0.105714286,0.961,0.961
1990-01-20,0.012857143,1.186,0.961
1990-01-21,1.064285714,1.412,1.186
1990-01-22,0.36,1.412,1.412
1990-01-23,0.028571429,1.299,1.412
1990-01-24,0.018571429,1.299,1.299
1990-01-25,0.762857143,1.299,1.299
1990-01-26,3.388571429,1.299,1.299
1990-01-27,5.617142857,1.074,1.299
1990-01-28,8.874285714,0.961,1.074
1990-01-29,3.407142857,0.961,0.961
1990-01-30,2.951428571,0.961,0.961
1990-01-31,4.812857143,0.848,0.961
1990-02-01,1.312857143,0.762,0.848
1990-02-02,1.672857143,0.762,0.762
1990-02-03,0.435714286,0.762,0.762
1990-02-04,0,0.762,0.762
1990-02-05,0,0.762,0.762
1990-02-06,0.047142857,0.762,0.762
1990-02-07,0,0.762,0.762
1990-02-08,0.002857143,0.762,0.762
1990-02-09,0,0.762,0.762
1990-02-10,0,0.762,0.762
1990-02-11,0.105714286,0.848,0.762
1990-02-12,0.392857143,0.848,0.848
1990-02-13,0.002857143,0.961,0.848
1990-02-14,0,0.961,0.961
1990-02-15,0,0.961,0.961
1990-02-16,0,0.961,0.961
1990-02-17,0,0.961,0.961
1990-02-18,0.037142857,0.848,0.961
1990-02-19,0,0.848,0.848
1990-02-20,0.138571429,0.848,0.848
1990-02-21,1.688571429,0.848,0.848
1990-02-22,0,0.762,0.848
1990-02-23,0.007142857,0.762,0.762
1990-02-24,0,0.762,0.762
